City_ID,City,,,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
284,slantsy,,,1528905466,55,59.12,28.09,62.5,4.18
285,mallaig,,,1528905466,99,57.01,-5.83,53.95,24.09
286,auch,,,1528903800,56,43.65,0.59,73.4,10.29
287,pathein,,,1528905467,96,16.78,94.73,76.9,14.81
288,maceio,,,1528905600,88,-9.67,-35.74,75.2,6.93
289,oloron-sainte-marie,,,1528903800,93,43.19,-0.61,68,11.41
290,isangel,,,1528905468,100,-19.55,169.27,74.2,14.36
291,manglaur,,,1528905468,64,29.79,77.88,82.57,2.39
292,wenling,,,1528905468,95,28.38,121.38,74.56,3.96
293,pak phanang,,,1528905469,93,8.35,100.2,85.99,10.22
294,aksay,,,1528905469,21,47.27,39.86,87.43,3.74
295,baghdad,,,1528902000,14,33.3,44.38,104,4.7
296,fort nelson,,,1528902000,86,58.81,-122.69,41,9.17
297,fuerte olimpo,,,1528905470,75,-21.04,-57.87,60.97,12.8
298,bandarban,,,1528902000,94,22.2,92.22,80.6,13.87
299,mao,,,1528902000,62,19.55,-71.08,89.6,12.75
300,christchurch,,,1528903800,93,-43.53,172.64,48.2,8.05
301,goderich,,,1528905435,88,43.74,-81.71,68.17,11.45
302,kizema,,,1528905476,66,61.11,44.83,53.86,18.39
303,quatre cocos,,,1528902000,69,-20.21,57.76,75.2,14.99
304,kalur kot,,,1528905476,41,32.16,71.27,91.03,1.95
305,singaraja,,,1528905476,100,-8.11,115.08,66.73,1.95
306,coquimbo,,,1528902000,62,-29.95,-71.34,53.6,8.05
307,urengoy,,,1528905477,59,65.96,78.37,69.25,12.24
308,yaypan,,,1528905477,43,40.38,70.82,76.54,3.62
309,seoul,,,1528902000,68,37.57,126.98,71.6,3.36
310,acopiara,,,1528905477,51,-6.09,-39.45,83.2,11.23
311,warrnambool,,,1528905363,100,-38.38,142.48,51.43,17.72
312,phan thiet,,,1528905478,100,10.93,108.1,78.61,10
313,ilebo,,,1528905478,22,-4.33,20.59,94.72,5.19
314,kijang,,,1528902000,72,35.24,129.21,68,13.87
315,krasnogorsk,,,1528902000,59,55.82,37.34,69.8,13.42
316,husavik,,,1528905479,72,50.56,-96.99,67.27,7.31
317,araouane,,,1528905479,15,18.9,-3.53,111.46,5.75
318,tilichiki,,,1528905480,88,60.47,166.1,37.93,2.62
319,bosobolo,,,1528905481,70,4.19,19.88,84.19,6.42
320,villarrobledo,,,1528905482,28,39.27,-2.6,76.99,12.01
321,ribeira grande,,,1528903800,83,38.52,-28.7,75.2,11.41
